antecedents,consequents,support,confidence,lift
"Pagi, THEFT","Weekday, Minggu_4",0.032,1.0,1.5873015873015872
"STREET, Area_Utara",Minggu_4,0.03,0.7692307692307692,1.2210012210012209
"STREET, Area_Utara","Weekday, Minggu_4",0.03,0.7692307692307692,1.2210012210012209
"Weekday, STREET, Area_Utara",Minggu_4,0.03,0.7692307692307692,1.2210012210012209
"ROBBERY, Weekday",ARREST_NO,0.03,1.0,1.1862396204033214
ROBBERY,ARREST_NO,0.03,1.0,1.1862396204033214
"Weekday, THEFT, STREET",ARREST_NO,0.043,1.0,1.1862396204033214
"THEFT, STREET",ARREST_NO,0.043,1.0,1.1862396204033214
"THEFT, STREET","Weekday, ARREST_NO",0.043,1.0,1.1862396204033214
ROBBERY,"ARREST_NO, Weekday",0.03,1.0,1.1862396204033214
"APARTMENT, Area_Tengah, Weekday, ARREST_NO",Minggu_4,0.039,0.7358490566037736,1.1680143755615455
"Area_Tengah, ARREST_NO, APARTMENT","Weekday, Minggu_4",0.039,0.7358490566037736,1.1680143755615455
"Area_Tengah, APARTMENT, ARREST_NO",Minggu_4,0.039,0.7358490566037736,1.1680143755615455
"MOTOR VEHICLE THEFT, Minggu_4",ARREST_NO,0.039,0.975,1.1565836298932384
"MOTOR VEHICLE THEFT, Minggu_4","Weekday, ARREST_NO",0.039,0.975,1.1565836298932384
"Weekday, MOTOR VEHICLE THEFT, Minggu_4",ARREST_NO,0.039,0.975,1.1565836298932384
"Area_Lainnya, ARREST_NO, Weekday, BATTERY",Minggu_4,0.032,0.7272727272727273,1.1544011544011543
"Area_Lainnya, ARREST_NO, BATTERY",Minggu_4,0.032,0.7272727272727273,1.1544011544011543
"Area_Lainnya, ARREST_NO, BATTERY","Weekday, Minggu_4",0.032,0.7272727272727273,1.1544011544011543
"Area_Lainnya, BATTERY","Weekday, Minggu_4",0.042,0.7241379310344828,1.1494252873563218
"Area_Lainnya, Weekday, BATTERY",Minggu_4,0.042,0.7241379310344828,1.1494252873563218
"Area_Lainnya, BATTERY",Minggu_4,0.042,0.7241379310344828,1.1494252873563218
"Weekday, STREET, MOTOR VEHICLE THEFT, Minggu_4",ARREST_NO,0.03,0.9677419354838709,1.1479738261967627
"STREET, MOTOR VEHICLE THEFT, Minggu_4","Weekday, ARREST_NO",0.03,0.9677419354838709,1.1479738261967627
"MOTOR VEHICLE THEFT, STREET, Minggu_4",ARREST_NO,0.03,0.9677419354838709,1.1479738261967627
"Weekday, ASSAULT, Minggu_4",ARREST_NO,0.059,0.9672131147540983,1.1473465180950158
"ASSAULT, Minggu_4",ARREST_NO,0.059,0.9672131147540983,1.1473465180950158
"ASSAULT, Minggu_4","ARREST_NO, Weekday",0.059,0.9672131147540983,1.1473465180950158
"ARREST_NO, THEFT, Area_Utara",Minggu_4,0.056,0.717948717948718,1.1396011396011396
"ARREST_NO, Weekday, THEFT, Area_Utara",Minggu_4,0.056,0.717948717948718,1.1396011396011396
"ARREST_NO, THEFT, Area_Utara","Weekday, Minggu_4",0.056,0.717948717948718,1.1396011396011396
"Minggu_3, CRIMINAL DAMAGE","Weekday, ARREST_NO",0.04,0.9523809523809523,1.1297520194317348
"Area_Tengah, Weekday, CRIMINAL DAMAGE",ARREST_NO,0.04,0.9523809523809523,1.1297520194317348
"Area_Tengah, CRIMINAL DAMAGE","Weekday, ARREST_NO",0.04,0.9523809523809523,1.1297520194317348
"Weekday, Minggu_3, CRIMINAL DAMAGE",ARREST_NO,0.04,0.9523809523809523,1.1297520194317348
"Minggu_3, CRIMINAL DAMAGE",ARREST_NO,0.04,0.9523809523809523,1.1297520194317348
"Area_Tengah, CRIMINAL DAMAGE",ARREST_NO,0.04,0.9523809523809523,1.1297520194317348
"Area_Tengah, APARTMENT, Minggu_4","Weekday, ARREST_NO",0.039,0.9512195121951219,1.128374273066574
"APARTMENT, Area_Tengah, Weekday, Minggu_4",ARREST_NO,0.039,0.9512195121951219,1.128374273066574
"Area_Tengah, APARTMENT, Minggu_4",ARREST_NO,0.039,0.9512195121951219,1.128374273066574
"Minggu_4, THEFT, Area_Utara","ARREST_NO, Weekday",0.056,0.9491525423728814,1.1259223515692542
"Minggu_4, THEFT, Area_Utara",ARREST_NO,0.056,0.9491525423728814,1.1259223515692542
"Weekday, THEFT, Minggu_4, Area_Utara",ARREST_NO,0.056,0.9491525423728814,1.1259223515692542
ASSAULT,ARREST_NO,0.089,0.9468085106382979,1.1231417682542086
"Weekday, ASSAULT",ARREST_NO,0.089,0.9468085106382979,1.1231417682542086
ASSAULT,"ARREST_NO, Weekday",0.089,0.9468085106382979,1.1231417682542086
"Weekday, MOTOR VEHICLE THEFT",ARREST_NO,0.069,0.9452054794520549,1.1212401891483452
MOTOR VEHICLE THEFT,ARREST_NO,0.069,0.9452054794520549,1.1212401891483452
MOTOR VEHICLE THEFT,"Weekday, ARREST_NO",0.069,0.9452054794520549,1.1212401891483452
"RESIDENCE, Weekday, Minggu_3",ARREST_NO,0.034,0.9444444444444445,1.1203374192698037
"RESIDENCE, Minggu_3","ARREST_NO, Weekday",0.034,0.9444444444444445,1.1203374192698037
"RESIDENCE, Minggu_3",ARREST_NO,0.034,0.9444444444444445,1.1203374192698037
"MOTOR VEHICLE THEFT, Malam",ARREST_NO,0.034,0.9444444444444445,1.1203374192698037
"MOTOR VEHICLE THEFT, Malam","Weekday, ARREST_NO",0.034,0.9444444444444445,1.1203374192698037
"Weekday, MOTOR VEHICLE THEFT, Malam",ARREST_NO,0.034,0.9444444444444445,1.1203374192698037
"Dini_Hari, STREET",ARREST_NO,0.033,0.9428571428571428,1.1184544992374175
"Dini_Hari, Weekday, STREET",ARREST_NO,0.033,0.9428571428571428,1.1184544992374175
"Dini_Hari, STREET, Minggu_4","ARREST_NO, Weekday",0.033,0.9428571428571428,1.1184544992374175
